365엠씨의원,의원,"경기도 고양시 일산동구 정발산로 43-20, (장항동, 센트럴프라자 808~809호)",031-902-3653
365자주치과의원,치과의원,"경기도 고양시 일산동구 정발산로 43-20, 센트럴프라자 601, 603호 (장항동)",031-814-0365
가로세로한의원,한의원,"경기도 고양시 일산동구 정발산로 38, (장항동, 이스턴시티 403호)",031-909-1075
강의원,의원,"경기도 고양시 일산동구 중앙로1275번길 38-10, 209호 (장항동, 우림로데오스위트)",031-919-2568
경희대성한의원,한의원,"경기도 고양시 일산동구 무궁화로 106, (정발산동, 새마을회관 1층)",031-902-8300
경희지키미한의원,한의원,"경기도 고양시 일산동구 중앙로 1079, 207호~211호(백석역 더리브 스타일) (백석동)",031-909-1000
고려튼튼마취통증의학과의원,의원,"경기도 고양시 일산동구 일산로 239, 삼성프라자 201(일부)호 (마두동)",031-907-7588
고양메디컬의원,의원,"경기도 고양시 일산동구 고봉로 795, 2층 (설문동)",031-819-7500
고양복지의료생협 봄날치과의원,치과의원,"경기도 고양시 일산동구 고봉로 278, 성창빌딩 2층 전체호 (중산동)",031-976-0061
고양본플란트치과의원,치과의원,"경기도 고양시 일산동구 위시티로 34, 5층 (식사동)",031-963-7528
고양성모안과의원,의원,"경기도 고양시 일산동구 일산로 211, 2층 (마두동)",031-905-1811
고양시일산동구보건소,보건소,"경기도 고양시 일산동구 중앙로 1100, 일산동구보건소 (백석동)",0075-2121
고양정형외과의원,의원,"경기도 고양시 일산동구 일산로 211, (마두동, 1,5층)",031-905-9700
고은미래의원,의원,"경기도 고양시 일산동구 숲속마을로 22, 진넥스 블루오션 2층 (풍동)",031-903-7600
고은이치과의원,치과의원,"경기도 고양시 일산동구 일산로 238, (마두동, 대일상가 301호)",031-932-5575
고재성의원,의원,"경기도 고양시 일산동구 백석로 109, (백석동, 백송마을3단지아파트상가동 207호)",031-901-2864
국립암센터,종합병원,"경기도 고양시 일산동구 일산로 323, (마두동)",031-920-0114
국민건강보험공단일산병원,종합병원,"경기도 고양시 일산동구 일산로 100, (백석동,백석1동 1241외1필지 4층)",1577-0013
굿센치과의원,치과의원,"경기도 고양시 일산동구 고봉로278번길 22, 일산프라자 501~504호 (중산동)",031-977-9379
그레이스병원,병원,"경기도 고양시 일산동구 중앙로 1073, (지하2층,지하1층,1층중일부,2~9층)/중앙로1071(1층중 일부, 2~4층) (백석동)",031-901-4000
기쁜하루치과의원,치과의원,"경기도 고양시 일산동구 중앙로 1059, 2층 일부호 (백석동, ISD빌딩)",031-908-2875
기특한한의원,한의원,"경기도 고양시 일산동구 중앙로 1048, 일산르메이에르프라자 5층 512,519,520호 (백석동)",031-932-2600
기풍한의원,한의원,"경기도 고양시 일산동구 중앙로 1047, 308호 (백석동, 영림브레아오피스텔)",031-908-6626
길맨비뇨기과의원,의원,"경기도 고양시 일산동구 중앙로 1047, (백석동,영림브레아오피스텔 204호, 205호)",031-905-7544
김내과의원,의원,"경기도 고양시 일산동구 일산로 214, (마두동, 화성프라자 2층)",031-904-3159
김영숙피부과의원,의원,"경기도 고양시 일산동구 중앙로 1124, 상가동 2층 207~209호 (백석동, 흰돌마을1단지아파트)",031-901-3133
김영호마취통증의학과의원,의원,"경기도 고양시 일산동구 중앙로 1200, 삼희골드프라자 203호, 204호 (마두동)",031-906-2094
김태빈내과의원,의원,"경기도 고양시 일산동구 중산로 245, (중산동,  대성상가302호)",031-975-8402
김태형정형외과의원,의원,"경기도 고양시 일산동구 일산로 442, 신일프라자 3,4(일부)층 (정발산동)",031-921-7007
나병만내과의원,의원,"경기도 고양시 일산동구 강송로 179, 301호 (마두동, 신일산빌딩 )",031-908-7570
나봄가정의학과의원,의원,"경기도 고양시 일산동구 정발산로 15, (장항동, 드림월드빌딩 202호, 203호)",031-901-9909
남서한의원,한의원,"경기도 고양시 일산동구 일산로 238, (마두동, 대일상가 302~303호)",031-904-8575
내안에봄의원,의원,"경기도 고양시 일산동구 강송로 33, 1층 A-1102-1호 (백석동, 일산 요진 와이시티)",902-8575
녹원명문한의원,한의원,"경기도 고양시 일산동구 일산로 461, (정발산동)",031-916-7982
뉴욕치과의원,치과의원,"경기도 고양시 일산동구 일산로 46, (백석동, 남정시티프라자 3차 303호)",031-901-7528
늘미소소아청소년과의원,의원,"경기도 고양시 일산동구 숲속마을로 40, 3층 (풍동, 유진프라자)",031-908-7850
늘사랑가정의학과의원,의원,"경기도 고양시 일산동구 일산로 442, 2층 (정발산동)",031-919-7054
다스람요양병원,요양병원,"경기도 고양시 일산동구 성현로29번길 28-9, 지하1층, 1층~4층 (성석동)",1800-5173
다이트한의원,한의원,"경기도 고양시 일산동구 정발산로 33, 낙원프라자 401호, 405호, 405-1호, 801호, 803호 (장항동)",1666-3733
다주한의원,한의원,"경기도 고양시 일산동구 일산로 228, (마두동, 강서빌딩 303~304호)",031-908-7885
다편한마취통증의학과의원,의원,"경기도 고양시 일산동구 중앙로 1181, 803,903호 (장항동, 교보생명 일산사옥)",031-902-5275
닥터에버스의원,의원,"경기도 고양시 일산동구 정발산로 38, 장항동이스턴시티 301, 304호 (장항동)",031-906-2010
대연치과의원,치과의원,"경기도 고양시 일산동구 강송로 179, (마두동, 신일산크리닉3층)",031-904-1751
더데이치과의원,치과의원,"경기도 고양시 일산동구 중앙로 1205, 차움라이프센터 3층 일부-301호 (장항동)",031-994-2898
더드림의원,의원,"경기도 고양시 일산동구 정발산로 33, 402~4호 (장항동, 낙원프라자)",031-904-7365
더바른소아청소년과의원,의원,"경기도 고양시 일산동구 고양대로1021번길 33, 스타타워Ⅲ 201호 (식사동)",031-994-2374
더바른치과의원,치과의원,"경기도 고양시 일산동구 일산로 197, (마두동, 3002호)",031-904-2752
더봄의원,의원,"경기도 고양시 일산동구 정발산로 27, 진원프라자 501,502(일부)호 (장항동)",031-906-7688
더조은내과의원,의원,"경기도 고양시 일산동구 숲속마을로 26, (풍동, 풍동프라자 3층)",031-905-8575
더튼튼한의원,한의원,"경기도 고양시 일산동구 정발산로 47, 웅신아트 2층 209호 (장항동)",031-902-7776
더휴정신건강의학과의원,의원,"경기도 고양시 일산동구 고양대로 757, 3층 (중산동)",031-975-5285
더히엘의원,의원,"경기도 고양시 일산동구 위시티로 34, 삼우빌딩 3층 (식사동)",031-967-7900
데일리즈의원,의원,"경기도 고양시 일산동구 무궁화로 32-12, (장항동,외3필지 라페스타E동 501호)",031-907-5400
도담치과의원,치과의원,"경기도 고양시 일산동구 중앙로 1195, 로스텔 201호 (장항동)",031-908-2893
동경치과의원,치과의원,"경기도 고양시 일산동구 중앙로 1322, (정발산동, 아이스페이스 214호)",031-901-2875
동국대학교일산불교병원,종합병원,"경기도 고양시 일산동구 동국로 27, (식사동, 동국대학교일산병원)",031-1577-7000
동국대학교일산불교한방병원,한방병원,"경기도 고양시 일산동구 동국로 27, (식사동, 동국대학교일산병원)",031-961-7000
동국마음요양병원,요양병원,"경기도 고양시 일산동구 숲속마을로 18, 웰빙타운 5~8층 4층 403,404호 (풍동)",031-811-9900
동원당한의원,한의원,"경기도 고양시 일산동구 하늘마을1로 2, 406호 (중산동,풍산프라자)",031-976-8272
동원요양병원,요양병원,"경기도 고양시 일산동구 일산로 439, 지하1~2층 지상2~5층호 (정발산동)",031-850-7000
